2D-peak FWHM	#
10.0103013	1	
10.62986274	0	
11.24942418	0	
11.86898561	0	
12.48854705	1	
13.10810849	0	
13.72766993	8	
14.34723137	5	
14.96679281	15	
15.58635424	27	
16.20591568	33	
16.82547712	37	
17.44503856	54	
18.0646	26	
18.68416144	35	
19.30372287	33	
19.92328431	28	
20.54284575	18	
21.16240719	16	
21.78196863	13	
22.40153007	13	
23.02109151	10	
23.64065294	9	
24.26021438	10	
24.87977582	5	
25.49933726	6	
26.1188987	3	
26.73846014	1	
27.35802157	2	
27.97758301	4	
28.59714445	3	
29.21670589	1	
29.83626733	1	
30.45582877	1	
31.0753902	2	
31.69495164	1	
32.31451308	4	
32.93407452	2	
33.55363596	1	
34.1731974	1	
34.79275883	1	
35.41232027	0	
36.03188171	1	
36.65144315	1	
37.27100459	2	
37.89056603	0	
38.51012747	0	
39.1296889	0	
39.74925034	0	
40.36881178	0	
40.98837322	0	
41.60793466	0	
42.2274961	0	
42.84705753	0	
43.46661897	0	
44.08618041	0	
44.70574185	0	
45.32530329	0	
45.94486473	1	
46.56442616	 	
