G-peak omega	#
1044.062343	1	
1046.548702	0	
1049.035061	0	
1051.52142	0	
1054.007778	0	
1056.494137	0	
1058.980496	0	
1061.466855	0	
1063.953214	0	
1066.439572	0	
1068.925931	0	
1071.41229	0	
1073.898649	0	
1076.385008	0	
1078.871367	0	
1081.357725	0	
1083.844084	0	
1086.330443	0	
1088.816802	0	
1091.303161	0	
1093.789519	0	
1096.275878	0	
1098.762237	0	
1101.248596	0	
1103.734955	0	
1106.221314	0	
1108.707672	0	
1111.194031	0	
1113.68039	0	
1116.166749	0	
1118.653108	0	
1121.139466	0	
1123.625825	0	
1126.112184	0	
1128.598543	0	
1131.084902	0	
1133.571261	0	
1136.057619	1	
1138.543978	0	
1141.030337	0	
1143.516696	0	
1146.003055	0	
1148.489413	0	
1150.975772	0	
1153.462131	0	
1155.94849	0	
1158.434849	0	
1160.921208	0	
1163.407566	0	
1165.893925	1	
1168.380284	0	
1170.866643	0	
1173.353002	0	
1175.83936	0	
1178.325719	0	
1180.812078	0	
1183.298437	0	
1185.784796	0	
1188.271155	0	
1190.757513	0	
1193.243872	0	
1195.730231	0	
1198.21659	0	
1200.702949	0	
1203.189307	0	
1205.675666	0	
1208.162025	0	
1210.648384	0	
1213.134743	0	
1215.621102	0	
1218.10746	0	
1220.593819	0	
1223.080178	0	
1225.566537	0	
1228.052896	0	
1230.539254	0	
1233.025613	0	
1235.511972	0	
1237.998331	0	
1240.48469	0	
1242.971049	0	
1245.457407	0	
1247.943766	0	
1250.430125	0	
1252.916484	1	
1255.402843	0	
1257.889201	1	
1260.37556	0	
1262.861919	0	
1265.348278	0	
1267.834637	0	
1270.320996	0	
1272.807354	0	
1275.293713	0	
1277.780072	0	
1280.266431	0	
1282.75279	0	
1285.239148	0	
1287.725507	0	
1290.211866	0	
1292.698225	0	
1295.184584	0	
1297.670943	0	
1300.157301	1	
1302.64366	0	
1305.130019	0	
1307.616378	0	
1310.102737	0	
1312.589095	0	
1315.075454	0	
1317.561813	0	
1320.048172	0	
1322.534531	0	
1325.02089	0	
1327.507248	1	
1329.993607	0	
1332.479966	1	
1334.966325	0	
1337.452684	0	
1339.939042	1	
1342.425401	0	
1344.91176	0	
1347.398119	0	
1349.884478	0	
1352.370836	0	
1354.857195	0	
1357.343554	0	
1359.829913	0	
1362.316272	0	
1364.802631	1	
1367.288989	0	
1369.775348	0	
1372.261707	0	
1374.748066	0	
1377.234425	1	
1379.720783	1	
1382.207142	0	
1384.693501	0	
1387.17986	0	
1389.666219	0	
1392.152578	0	
1394.638936	0	
1397.125295	0	
1399.611654	0	
1402.098013	0	
1404.584372	0	
1407.07073	0	
1409.557089	0	
1412.043448	0	
1414.529807	0	
1417.016166	0	
1419.502525	0	
1421.988883	0	
1424.475242	0	
1426.961601	0	
1429.44796	0	
1431.934319	0	
1434.420677	0	
1436.907036	0	
1439.393395	0	
1441.879754	0	
1444.366113	0	
1446.852472	0	
1449.33883	0	
1451.825189	0	
1454.311548	0	
1456.797907	0	
1459.284266	0	
1461.770624	0	
1464.256983	0	
1466.743342	7	
1469.229701	6	
1471.71606	8	
1474.202419	3	
1476.688777	5	
1479.175136	2	
1481.661495	2	
1484.147854	3	
1486.634213	4	
1489.120571	2	
1491.60693	2	
1494.093289	1	
1496.579648	0	
1499.066007	0	
1501.552366	0	
1504.038724	0	
1506.525083	0	
1509.011442	0	
1511.497801	0	
1513.98416	0	
1516.470518	0	
1518.956877	0	
1521.443236	0	
1523.929595	0	
1526.415954	0	
1528.902313	0	
1531.388671	0	
1533.87503	0	
1536.361389	0	
1538.847748	1	
1541.334107	0	
1543.820465	0	
1546.306824	0	
1548.793183	0	
1551.279542	1	
1553.765901	0	
1556.25226	0	
1558.738618	0	
1561.224977	0	
1563.711336	0	
1566.197695	0	
1568.684054	0	
1571.170412	1	
1573.656771	2	
1576.14313	10	
1578.629489	40	
1581.115848	166	
1583.602207	114	
1586.088565	34	
1588.574924	4	
1591.061283	3	
1593.547642	1	
1596.034001	2	
1598.520359	 	
