f;Ue;Ua;Ua/Ue
10;0.63;0.63;1
100;0.632;0.627;0.992088608
200;0.632;0.618;0.977848101
300;0.631;0.605;0.958795563
400;0.63;0.587;0.931746032
500;0.629;0.568;0.903020668
600;0.628;0.546;0.869426752
700;0.627;0.523;0.834130781
800;0.625;0.501;0.8016
900;0.624;0.479;0.767628205
1000;0.623;0.457;0.733547352
1100;0.623;0.437;0.701444623
1200;0.622;0.417;0.670418006
1300;0.621;0.399;0.642512077
1400;0.62;0.381;0.614516129
1500;0.62;0.365;0.588709677
1600;0.619;0.35;0.56542811
1700;0.618;0.336;0.54368932
1800;0.618;0.322;0.521035599
1900;0.618;0.31;0.501618123
2000;0.617;0.298;0.482982172
2100;0.617;0.287;0.465153971
2200;0.617;0.277;0.448946515
2300;0.616;0.268;0.435064935
2400;0.616;0.259;0.420454545
2500;0.616;0.25;0.405844156
2600;0.616;0.242;0.392857143
2700;0.616;0.235;0.381493506
2800;0.615;0.228;0.370731707
2900;0.615;0.221;0.359349593
3000;0.615;0.215;0.349593496
4000;0.614;0.166;0.270358306
5000;0.614;0.135;0.219869707
6000;0.614;0.114;0.185667752
7000;0.613;0.098;0.159869494
8000;0.613;0.087;0.141924959
9000;0.613;0.077;0.125611746
10000;0.613;0.07;0.114192496
3500;0.615;0.188;0.305691057
20;0.633;0.631;0.996840442
40;0.632;0.63;0.996835443
60;0.632;0.629;0.995253165
80;0.632;0.628;0.993670886
